EpochTime,181.feed_4954.particle_concentration,181.feed_4954.particle_concentration2,181.feed_4954.particle_count,181.feed_4954.particle_count2,181.feed_4954.raw_particles,181.feed_4954.raw_particles2,181.feed_4954.temperature
1435677805,8,0.2,197,6,232,12,0
1435677865,19.5,1,480,27,209,6,0
1435677925,21.8,1.1,536,28,166,13,0
1435677985,23.3,1.6,573,41,145,4,0
1435678045,22.1,1.5,543,38,147,8,0
1435678105,23.7,2.7,582,69,196,19,0
1435678165,26.3,2.9,645,73,181,8,0
1435678225,26,3.3,639,81,154,3,0
1435678285,25,3.4,615,85,169,17,0
1435678345,24.2,3.8,594,95,126,3,0
1435678405,23.3,3.9,572,97,149,8,0
1435678465,22.9,3.8,562,94,158,0,0
1435678525,23,3.3,566,82,129,0,0
1435678585,23.1,2.9,567,72,186,4,0
1435678645,22.6,2.9,557,71,121,3,0
1435678705,21.2,2.6,520,66,149,1,0
1435678765,21.7,2.4,533,60,156,8,0
1435678825,21.6,2.4,532,61,142,0,0
1435678885,22.4,2.2,551,55,171,2,0
1435678945,23.9,2.2,587,55,184,9,0
1435679005,25.6,2.4,629,60,224,7,0
1435679065,28.9,2.2,711,55,221,0,0
1435679125,28.5,1.7,700,43,241,0,0
1435679185,30.7,1.6,755,40,255,4,0
1435679245,34.9,1.2,857,32,319,1,0
1435679305,41.9,1.1,1029,29,569,23,0
1435679365,61.2,5,1501,123,1056,67,0.3
1435679425,68.5,7.8,1680,192,595,59,0
1435679485,70.9,10.3,1738,253,1403,113,0
1435679545,83.9,17.3,2058,426,979,111,0
1435679605,87.9,19.8,2157,486,1583,164,0
1435679665,109.1,23.9,2675,588,1303,87,0.6
1435679725,112.7,23.5,2765,577,1696,108,0
1435679785,117,24.3,2868,598,1101,35,0.3
1435679845,121.8,23.8,2986,584,1581,63,0
1435679905,121.3,20.5,2975,505,1041,4,0
1435679965,112.9,18.3,2770,451,1071,47,0
1435680025,101.5,17.5,2490,429,897,14,0
1435680085,96.7,15,2371,369,880,9,0
1435680145,97.1,12.9,2382,318,962,1,0
1435680205,89.8,10.9,2202,270,700,0,0
1435680265,89.1,9.7,2185,239,879,11,0
1435680325,89.6,8.9,2197,220,853,4,0
1435680385,90.7,8.6,2224,213,927,18,0
1435680445,82.7,7.7,2028,190,446,1,0
1435680505,59.3,6.7,1455,167,187,0,0
1435680565,43.5,5.8,1068,143,193,0,0
1435680625,35.5,5.1,871,125,184,0,0
1435680685,30.6,4.6,751,113,159,0,0
1435680745,27,4.1,663,101,167,0,0
1435680805,25.4,3.7,623,92,157,2,0
1435680865,24,3.3,590,83,161,0,0
1435680925,24.9,2.8,612,71,204,0,0
1435680985,24.1,2.3,593,59,144,0,0
1435681045,22.8,1.8,560,47,169,0,0
1435681105,23.4,1.4,576,35,153,0,0
1435681165,22.4,0.9,552,23,140,0,0
1435681225,22.3,0.4,547,11,173,0,0
1435681285,22.6,0,555,1,138,0,0
1435681345,22,0,541,0,159,0,0
1435681405,21.6,0,531,0,132,0,0
1435681465,22.4,0,551,0,172,0,0
1435681525,22,0,540,0,140,0,0
1435681585,22.2,0,546,0,135,0,0
1435681645,21.1,0,519,0,117,0,0
1435681705,20.4,0,503,0,123,0,0
1435681765,20.7,0,509,0,157,0,0
1435681825,21.4,0,527,0,142,0,0
1435681885,21.8,0,535,0,180,0,0
1435681945,22.8,0,561,0,123,0,0
1435682005,21.3,0,524,0,120,0,0
1435682065,21.1,0.1,518,3,149,5,0
1435682125,20.7,0.1,509,3,133,0,0
1435682185,21.3,0,524,2,139,3,0
1435682245,21.4,0.2,526,7,159,8,0
1435682305,21.4,0.2,527,7,144,4,0
1435682365,21.9,0.1,538,5,148,2,0
1435682425,22,0.2,540,6,144,7,0
1435682485,23.4,0.4,574,12,221,4,0
1435682545,25.5,0.8,627,22,189,13,0
1435682605,25.8,1.3,633,33,174,5,0
1435682665,23,0.8,566,22,115,0,0
1435682725,21.1,0.4,518,12,145,1,0
1435682785,21.9,0.3,539,9,182,5,0
1435682845,23,0.7,566,18,151,7,0
1435682905,22.4,0.9,552,23,144,10,0
1435682965,21.6,0.8,531,20,121,0,0
1435683025,21.1,0.4,520,10,133,0,0
1435683085,23,0.2,565,8,216,4,0
1435683145,31.3,0.8,769,22,646,27,0
1435683205,53.2,2.5,1304,63,1048,21,0
1435683265,74.4,5.8,1825,144,958,63,0
1435683325,76.2,8.7,1868,216,844,61,0.3
1435683385,69.9,8.9,1714,220,686,19,0
1435683445,61.1,8.2,1499,203,399,17,0
1435683505,57.6,8.1,1414,200,477,29,0
1435683565,64.9,9.4,1591,232,628,35,0
1435683625,70,10.2,1717,252,601,56,0
1435683685,70.2,10.7,1722,264,565,29,0
1435683745,68.1,11,1670,271,533,43,0
1435683805,65.5,10.6,1608,261,477,12,0
1435683865,71,13.2,1742,325,734,114,0
1435683925,74.7,15.5,1831,381,595,88,0.3
1435683985,70.8,15.9,1737,391,504,52,0.3
1435684045,62.9,15,1543,370,438,51,0.3
1435684105,58.8,14.7,1442,362,440,30,0
1435684165,57.6,13.7,1413,337,462,31,0
1435684225,54.9,12.4,1347,305,415,22,0.3
1435684285,51.9,11.2,1273,277,362,5,0
1435684345,47.1,9.8,1157,243,353,8,0
1435684405,44.4,8.8,1090,217,319,10,0
1435684465,42.6,8,1045,197,340,20,0
1435684525,41.8,7.9,1026,194,326,4,0
1435684585,42.1,7.4,1033,183,386,10,0
1435684645,49.9,6.9,1223,170,695,5,0
1435684705,63.2,9.2,1550,228,920,78,0.3
1435684765,69.7,12.1,1710,297,1241,71,0.3
1435684825,71,12.3,1742,303,734,77,0
1435684885,95.8,22.4,2350,550,2380,328,0.7
1435684945,137.5,29.1,3372,716,2026,278,0.3
1435685005,178.8,36.5,4384,897,2659,512,1.1
1435685065,225,58.1,5517,1425,2969,978,1.8
1435685125,272.9,95.5,6689,2343,3387,1347,2.2
1435685185,315.3,119.7,7730,2935,3304,1190,2.2
1435685245,347.7,125.3,8524,3072,3204,1009,3.3
1435685305,361,115.2,8850,2825,2995,751,1.1
1435685365,354.1,99.3,8680,2436,2895,653,2.6
1435685425,341,79,8360,1937,2573,377,0
1435685485,315.2,59.3,7727,1455,2307,245,0.7
1435685545,300.5,46.9,7366,1150,2389,244,0.3
1435685605,287.3,37.2,7044,915,2191,174,0
1435685665,264.8,30.7,6492,754,1909,96,0
1435685725,245.9,25.6,6028,628,1894,97,0
1435685785,239.1,22.9,5861,563,1858,82,0.3
1435685845,226.9,20.4,5564,501,1739,61,0
1435685905,212.4,18,5209,444,1618,52,0
1435685965,209.7,17.2,5143,424,1668,74,0
1435686025,200,15.8,4904,388,1558,35,0
1435686085,191.4,13.9,4692,341,1503,43,0.3
1435686145,183.5,13,4500,319,1487,30,0
1435686205,181.6,11.8,4453,291,1464,41,0
1435686265,172,11.1,4218,273,1272,11,0
1435686325,163.1,10.1,4000,249,1299,19,0
1435686385,155,9.1,3801,225,1211,20,0
1435686445,151.9,8.2,3724,202,1158,5,0
1435686505,148.9,7.4,3650,183,1254,7,0
1435686565,148.1,6.7,3631,165,1205,9,0
1435686625,145,6.4,3554,157,1155,17,0
1435686685,139.5,6.2,3420,153,1074,1,0
1435686745,133.3,5.4,3269,135,1038,5,0
1435686805,130.1,5.2,3191,129,1021,4,0
1435686865,127.9,5.2,3137,129,1038,13,0
1435686925,125.1,5,3067,124,966,0,0
1435686985,122.4,4.6,3001,113,1024,2,0
1435687045,120,4.2,2942,104,959,0,0
1435687105,126.3,4,3096,99,1129,5,0
1435687165,126.6,3.8,3104,95,1255,17,0
1435687225,139,5.3,3409,132,1307,16,0
1435687285,145.5,6.9,3567,171,1632,54,0.3
1435687345,143.2,7.4,3512,184,1099,9,0
1435687405,134,6.8,3287,169,1115,6,0
1435687465,130.7,6.1,3206,152,999,3,0
1435687525,121.4,5.5,2977,136,900,2,0
1435687585,114.7,5,2812,124,907,1,0
1435687645,111.2,4.6,2726,115,823,3,0
1435687705,105.5,4.3,2586,107,858,0,0
1435687765,102.9,4,2524,99,864,6,0
1435687825,103,3.9,2527,96,798,0,0
1435687885,99.9,3.6,2450,89,910,7,0
1435687945,104,3.5,2549,87,865,0,0
1435688005,108.5,3,2661,76,1023,0,0
1435688065,109.9,3.3,2696,82,1141,52,0
1435688125,113.5,5.1,2783,126,962,2,0
1435688185,110.9,4.8,2721,118,971,3,0
1435688245,102.5,4.4,2514,110,767,0,0
1435688305,103,4.2,2526,106,992,11,0
1435688365,100.2,4.8,2457,119,768,7,0
1435688425,90.8,4.5,2226,111,705,0,0
1435688485,89.4,4,2192,99,678,0,0
1435688545,82.1,3.5,2014,88,601,0,0
1435688605,75.4,3,1848,76,567,0,0
1435688665,76,2.7,1863,67,761,7,0
1435688725,81.8,2.7,2008,68,716,0,0
1435688785,84.1,2.3,2064,59,832,3,0
1435688845,95.5,3.1,2342,77,1189,40,0.7
1435688905,105,4.5,2576,111,1033,2,0
1435688965,108.2,4.1,2655,102,1020,1,0
1435689025,103.5,3.7,2539,93,706,2,0
1435689085,93.7,3.5,2298,86,871,1,0.3
1435689145,86.5,3.1,2122,77,597,1,0
1435689205,86.9,2.8,2131,70,794,1,0
1435689265,86.3,2.4,2116,59,735,0,0
1435689325,81.3,2.3,1993,58,689,11,0
1435689385,91.4,5.1,2242,127,1357,79,0
1435689445,119.2,9.2,2924,226,1684,84,0.3
1435689505,120.5,10.7,2956,264,922,51,0
1435689565,105.6,12,2590,295,874,41,0
1435689625,100.5,12.3,2464,303,1103,39,0
1435689685,110.4,12.6,2707,310,1015,24,0
1435689745,91.8,11.7,2252,288,582,25,0
1435689805,76.4,11.1,1874,274,534,16,0
1435689865,70.8,10,1736,246,504,1,0
1435689925,64.3,8.6,1579,212,543,3,0
1435689985,62.8,7.6,1542,187,589,0,0
1435690045,66.9,8.2,1641,201,676,61,0.3
1435690105,69.6,11.1,1706,274,589,53,0.3
1435690165,69.6,12.2,1708,301,566,28,0
1435690225,64.1,10.9,1572,269,590,14,0
1435690285,66.4,10.6,1629,260,882,47,0.3
1435690345,87.4,12.3,2143,302,1303,60,0
1435690405,103.8,13.6,2547,334,1476,44,0.3
1435690465,109,13.4,2674,331,978,27,0
1435690525,101.3,11.8,2484,290,735,2,0
1435690585,87.2,10.1,2140,249,681,2,0
1435690645,81.3,9.4,1995,232,589,9,0
1435690705,68.2,8.3,1674,206,426,5,0
1435690765,58.9,7.5,1445,185,392,4,0
1435690825,58,6.8,1423,169,592,2,0
1435690885,62.3,6,1527,149,594,2,0
1435690945,70,5.4,1718,133,932,3,0
1435691005,82.1,6.2,2015,154,1201,38,0
1435691065,87,6.9,2133,170,639,3,0
1435691125,75.9,6,1861,149,530,7,0
1435691185,73.5,6.2,1802,153,974,22,0
1435691245,73.5,6.2,1802,154,558,0,0
1435691305,68.2,5.4,1674,134,485,3,0
1435691365,60.4,4.9,1483,123,471,0,0
1435691425,52.9,4.5,1297,111,289,0,0
1435691485,50.5,4,1240,99,468,4,0
1435691545,61.3,4.1,1503,102,815,10,0
1435691605,74.5,4.9,1827,122,995,20,0
1435691665,84.4,5,2069,124,767,0,0
1435691725,71,4.9,1741,121,562,11,0
1435691785,59.7,4.9,1465,122,334,0,0
1435691845,62,4.6,1520,113,694,2,0
1435691905,55.6,4.1,1364,102,368,0,0
1435691965,50.5,3.6,1238,90,383,0,0
1435692025,50.6,3.8,1243,96,654,12,0
1435692085,58.9,3.9,1446,98,942,17,0
1435692145,69.5,4.5,1704,113,1141,18,0
1435692205,89.4,5,2192,124,1199,3,0
1435692265,88.5,4.6,2172,114,645,0,0
1435692325,77.4,4.4,1899,109,497,4,0
1435692385,69.9,4.1,1716,102,657,5,0
1435692445,62.8,3.9,1541,97,344,0,0
1435692505,57.6,3.4,1413,85,481,0,0
1435692565,50.9,2.9,1249,73,370,0,0
1435692625,63,2.9,1546,72,1002,10,0
1435692685,74.8,3.1,1836,78,1144,16,0
1435692745,84.3,4,2067,100,936,17,0
1435692805,88.9,5.3,2180,131,887,19,0
1435692865,75.5,5,1852,124,539,0,0
1435692925,63,4.5,1547,112,463,0,0
1435692985,63.2,4.1,1551,103,756,3,0
1435693045,59.6,3.8,1462,96,332,0,0
1435693105,50,3.6,1227,89,313,2,0
1435693165,48.7,3.1,1196,77,475,0,0
1435693225,47.9,2.6,1176,65,372,0,0
1435693285,56.7,2.1,1392,54,782,12,0
1435693345,63.7,2.8,1564,70,625,0,0
1435693405,75.5,2.9,1852,73,1226,24,0
1435693465,91.4,6.4,2242,158,1142,67,0
1435693525,85.7,6.6,2101,164,708,14,0
1435693585,64,5.7,1571,141,294,0,0
1435693645,53.1,5,1304,124,378,0,0
1435693705,46.2,4.5,1135,113,329,2,0
1435693765,46.2,4.2,1134,106,414,0,0
1435693825,42.6,3.8,1045,94,290,0,0
1435693885,46.7,4.3,1146,107,720,18,0.3
1435693945,58.5,4.5,1434,111,820,12,0
1435694005,83.1,7.5,2037,185,1504,69,0
1435694065,109.5,15.3,2686,377,1619,162,0.3
1435694125,93.1,15.5,2283,380,518,5,0
1435694185,71.6,13.4,1757,329,499,9,0
1435694245,64.6,11.7,1585,289,429,6,0
1435694305,58.3,10.6,1430,262,555,23,0
1435694365,57.6,10,1414,247,515,7,0
1435694425,53.3,8.8,1308,218,366,4,0
1435694485,50.9,8,1248,197,455,8,0
1435694545,54.1,7.8,1327,193,970,48,0
1435694605,64.1,9.2,1572,228,631,21,0
1435694665,54.8,8.9,1344,220,372,16,0
1435694725,48.2,8.7,1184,215,284,16,0.3
1435694785,42.5,8,1043,197,249,5,0
1435694845,36.2,7.4,888,183,219,15,0
1435694905,32.3,7.3,793,180,216,13,0
1435694965,31.5,7.5,772,185,227,18,0
1435695025,31.3,7.3,770,181,241,8,0
1435695085,30.1,6.8,738,168,236,9,0
1435695145,30.7,6.4,753,159,208,5,0
1435695205,30.6,6.1,752,152,264,9,0
1435695265,32.5,5.5,799,135,239,0,0
1435695325,31,5.1,763,127,218,4,0
1435695385,32.5,5.2,799,130,269,14,0
1435695445,33.8,5.3,831,132,277,11,0
1435695505,36.8,5.2,904,130,428,2,0
1435695565,38.8,4.9,954,120,234,3,0
1435695625,40.7,4.9,1000,120,433,6,0
1435695685,41.5,4.8,1018,119,379,6,0
1435695745,43.2,4.7,1061,116,315,2,0
1435695805,38.9,4.3,955,106,237,0,0
1435695865,37.1,4,910,98,341,4,0
1435695925,38.5,3.8,944,96,335,2,0
1435695985,45.2,3.5,1110,88,458,2,0
1435696045,47.2,3.2,1159,79,464,0,0
1435696105,48.8,3.3,1197,83,355,10,0
1435696165,49.3,3.2,1210,80,544,6,0
1435696225,50.5,3,1240,76,319,1,0
1435696285,49,2.9,1202,73,624,7,0
1435696345,53.4,3,1311,74,422,3,0
1435696405,48.8,2.6,1199,66,308,4,0
1435696465,44.6,2.5,1094,62,321,3,0.3
1435696525,45.9,2.6,1127,66,454,14,0
1435696585,50.5,3.1,1239,78,392,5,0
1435696645,47.2,3.1,1158,78,334,7,0
1435696705,51.5,3,1265,74,645,2,0
1435696765,52.5,3.1,1288,76,398,12,0
1435696825,48.6,3.3,1192,81,374,3,0
1435696885,48.8,3.1,1198,79,552,7,0
1435696945,56.1,3.6,1376,90,569,25,0
1435697005,60.6,5.3,1487,130,649,19,0
1435697065,62.9,5.6,1544,138,568,12,0
1435697125,61.9,5.2,1519,130,468,3,0
1435697185,61.9,5.3,1518,132,611,13,0
1435697245,66.3,5.5,1626,137,620,22,0
1435697305,63.9,6.3,1567,155,493,19,0
1435697365,61.2,6.5,1502,160,501,11,0
1435697425,59.4,6.6,1456,164,618,14,0
1435697485,63.8,6.1,1564,151,556,5,0
1435697545,63.5,5.7,1559,141,568,17,0
1435697605,73.4,6,1800,148,867,11,0
1435697665,75.1,6.1,1841,151,755,17,0
1435697725,79.7,5.9,1956,146,891,17,0
1435697785,81.8,6.1,2007,151,550,19,0.4
1435697845,71.1,6.4,1744,159,581,10,0
1435697905,75,5.9,1839,146,743,7,0
1435697965,74.1,5.4,1818,133,585,0,0
1435698025,76.2,5,1869,124,912,3,0
1435698085,87.8,4.7,2153,117,966,3,0
1435698145,90,4.4,2206,108,632,1,0
1435698205,87.9,4,2156,100,835,3,0
1435698265,87.1,4.2,2137,103,817,10,0
1435698325,93.5,4.7,2293,117,868,12,0
1435698385,89.2,4.6,2187,115,777,6,0.4
1435698445,91.6,4.7,2246,116,875,5,0
1435698505,92.9,4.5,2280,112,926,7,0
1435698565,92.1,4.2,2260,105,839,1,0
1435698625,94.9,4,2327,99,844,6,0
1435698685,98.6,4.6,2419,113,1116,17,0
1435698745,104.4,4.8,2560,119,788,5,0
1435698805,103.2,4.8,2531,119,901,2,0
1435698865,88.6,4.7,2174,118,578,6,0
1435698925,81,4.7,1986,116,663,11,0
1435698985,79.9,4.7,1961,117,687,3,0
1435699045,81.9,4.6,2010,115,844,5,0
1435699105,90.3,4.8,2214,120,835,14,0
1435699165,94.4,4.9,2315,121,877,4,0
1435699225,97.8,5,2399,125,1001,9,0
1435699285,105.1,5.5,2577,137,1032,23,0
1435699345,113.5,5.8,2782,143,1040,7,0
1435699405,115.3,5.5,2827,136,1175,10,0
1435699465,117.4,5.2,2879,129,1033,4,0
1435699525,115,4.8,2819,120,1162,2,0
1435699585,116.7,4.7,2862,116,1032,5,0
1435699645,121,5.1,2968,127,1093,21,0
1435699705,123.1,5.4,3019,135,1060,15,0
1435699765,118.1,5.5,2897,137,1095,14,0
1435699825,122.7,5.6,3009,139,1261,12,0
1435699885,133.7,5.3,3279,132,1174,10,0
1435699945,132.7,5.7,3255,142,1126,20,0
1435700005,130.8,5.7,3208,141,1255,11,0
1435700065,133.2,5.4,3266,134,1006,7,0
1435700125,125.9,5.3,3088,131,1228,7,0
1435700185,142,5.3,3481,132,1433,13,0.8
1435700245,136.6,5.4,3350,134,1123,16,0
1435700305,139.1,5.9,3411,145,1342,11,0
1435700365,141.7,5.4,3475,134,1277,4,0
1435700425,141.1,5.3,3460,131,1339,14,0
1435700485,146,6.4,3579,159,1435,29,0
1435700545,144.7,6.7,3548,166,1111,8,0
1435700605,133.9,6.3,3282,157,1149,11,0
1435700665,134.7,7.2,3303,177,1075,22,0
1435700725,126.4,6.4,3100,159,1108,2,0
