EpochTime,181.feed_4958.count,181.feed_4958.pm1,181.feed_4958.pm10,181.feed_4958.pm2.5
1435677861,130450,10.5,10.5,10.5
1435677867,128050,10,17.2,10.6
1435677873,126550,10,14.9,11.5
1435677879,124700,10,10.7,10.7
1435677885,126700,9.7,15.2,10.5
1435677891,128400,10.2,53.4,11.8
1435677897,129400,10.5,23.3,11.2
1435677903,126200,9.5,14,10.6
1435677909,125650,9.7,13,10.4
1435677915,127350,9.6,22.7,10.2
1435677921,124900,9.7,9.8,9.7
1435677927,131350,10.2,12.4,10.7
1435677933,130200,10.1,17.9,11
1435677939,129600,9.8,9.9,9.9
1435677945,132500,10.1,10.5,10.5
1435677951,127950,10.1,14.8,11.1
1435677957,124850,9.7,12.1,11.3
1435677963,125800,9.6,29.7,11
1435677969,126600,9.8,14.3,12.5
1435677975,126200,9.7,14.1,10.9
1435677981,131800,10.1,11.7,10.9
1435677987,129250,9.8,36.2,11.4
1435677993,127300,9.7,16.9,10.7
1435677999,129950,9.7,10.2,10.2
1435678005,125250,9.5,13,11.1
1435678011,126150,9.5,23.9,10.6
1435678017,129300,10,14.6,11.1
1435678023,128100,9.7,12.8,10.9
1435678029,124750,9.2,12.9,10.6
1435678035,127500,9.7,10,10
1435678041,126700,9.8,10.4,10.3
1435678047,128900,9.8,13.1,11.4
1435678053,130950,9.9,11.2,10.8
1435678059,122650,9.1,25.6,10.1
1435678065,130600,10.2,10.3,10.3
1435678071,127850,9.9,10.1,10.1
1435678077,128550,9.9,10.7,10.6
1435678083,128350,9.9,11,10.9
1435678089,129500,9.8,23.2,10.6
1435678095,125050,9.6,21.7,10.3
1435678101,128500,9.9,10.3,10.3
1435678107,131800,10.4,14.9,12.8
1435678113,126550,9.4,24.9,10.2
1435678119,128000,9.7,10.1,10
1435678125,124200,9.7,11.9,10.8
1435678131,125700,9.5,13.7,10.1
1435678137,127300,9.8,9.8,9.8
1435678143,126500,9.9,10.1,10.1
1435678149,126450,9.6,12.9,10.3
1435678155,127600,9.6,12.4,11.1
1435678161,126850,9.9,17.7,11.1
1435678167,125700,9.7,25.2,10.8
1435678173,126850,9.6,10.7,10.6
1435678179,125950,9.6,9.8,9.8
1435678185,130150,10,11.3,11.2
1435678191,127600,9.9,11.9,11.3
1435678197,124450,9.5,17.1,10.3
1435678203,123000,9.2,12.8,9.8
1435678209,124200,9.4,14.1,11.3
1435678215,127450,9.8,24.7,10.2
1435678221,124450,9.2,10.8,10.5
1435678227,127850,9.8,21,10.6
1435678233,125150,9.5,14.6,10.6
1435678239,128350,9.7,9.9,9.9
1435678245,126250,9.5,9.8,9.8
1435678251,124500,9.4,9.7,9.7
1435678257,129900,9.8,11.4,10.6
1435678263,127100,9.6,9.7,9.7
1435678269,124850,9.3,20.7,10.3
1435678275,129500,10.1,23.5,10.8
1435678281,124350,9.3,11.3,10.2
1435678287,127100,9.6,9.6,9.6
1435678293,125900,9.7,11.6,10.9
1435678299,124100,9.1,9.5,9.5
1435678305,126000,9.3,11,9.8
1435678311,125950,9.2,11.7,10
1435678318,126150,9.5,24.3,12
1435678323,127500,9.4,9.8,9.7
1435678329,127650,9.3,9.7,9.7
1435678335,120700,9.1,10.2,9.7
1435678341,129050,9.8,10.1,10
1435678347,122100,9.2,22.8,10.4
1435678353,124900,9.4,11.5,10.4
1435678359,123250,9.4,11.3,10.5
1435678365,118800,9,11.8,10.1
1435678371,125650,9.4,12.3,11
1435678377,125250,9.8,20.5,10.3
1435678383,127750,9.6,12.6,10.9
1435678389,127600,9.5,10.6,10.2
1435678395,126150,9.2,9.4,9.4
1435678401,122050,9,9.8,9.7
1435678407,126500,9.6,11.3,10.7
1435678413,121250,9.1,9.2,9.2
1435678419,124900,9.5,10,10
1435678425,124700,9.1,9.5,9.4
1435678431,124200,9.3,20.7,10.4
1435678437,122950,9.2,9.2,9.2
1435678443,116750,8.8,19.3,9.1
1435678449,121600,9.1,10.8,10.1
1435678461,120750,9.1,9.2,9.2
1435678467,121850,9.2,11.3,10.5
1435678473,124400,9.2,9.5,9.5
1435678479,124500,9.4,9.7,9.7
1435678485,127550,9.7,10.2,10.2
1435678491,123000,9.1,9.2,9.2
1435678497,122050,9.1,10,9.9
1435678503,122350,9.5,10.2,10.1
1435678509,124100,9.3,9.4,9.4
1435678515,124200,9.2,14.4,10.4
1435678521,122500,9.2,12,10.3
1435678527,124800,9.4,9.6,9.6
1435678534,120750,9.1,13,10.1
1435678539,122000,9.2,10.4,10.1
1435678545,128450,9.4,11.5,10.6
