EpochTime,181.feed_4956.humidity,181.feed_4956.particle_concentration,181.feed_4956.particle_count,181.feed_4956.raw_particles,181.feed_4956.temperature
1435677816,100,1.3,34,48,-4.3
1435677876,96,3.1,78,26,0.2
1435677936,84,5.1,127,139,3
1435677996,75,8,197,23,5.4
1435678056,69,7.9,195,19,7.2
1435678116,65,8.2,202,35,8.7
1435678176,63,9,221,47,9.8
1435678236,61,9.2,227,34,10.7
1435678296,59,8.6,212,17,11.5
1435678356,58,7.9,195,25,12.2
1435678416,57,8.2,203,26,12.7
1435678476,56,8.2,203,32,13.1
1435678536,56,8.1,199,30,13.6
1435678596,55,8.1,200,19,14
1435678656,55,8.1,199,31,14.3
1435678716,54,8,198,21,14.6
1435678776,54,8,199,53,14.8
1435678836,53,8.6,212,4,15.1
1435678896,53,7.5,186,6,15.3
1435678956,53,7,173,15,15.4
1435679016,52,6.2,155,12,15.6
1435679076,52,6.1,150,23,15.8
1435679136,51,5.9,147,2,15.9
1435679196,51,5.3,132,7,16
1435679256,51,5,124,10,16.1
1435679316,51,4.8,119,21,16.1
1435679376,50,5.3,132,18,16.2
1435679436,51,5.5,136,23,16.3
1435679496,50,5.6,139,4,16.4
1435679556,50,5.1,127,11,16.4
1435679616,50,5.1,128,20,16.5
1435679676,50,5.4,134,13,16.5
1435679736,50,5.2,130,9,16.5
1435679796,50,4.8,119,4,16.6
1435679856,50,4.2,105,2,16.6
1435679916,50,4.2,105,21,16.6
1435679976,50,4.2,105,14,16.6
1435680036,50,4.3,108,12,16.6
1435680096,50,4,101,0,16.6
1435680156,50,3.7,93,4,16.7
1435680216,50,3.6,89,6,16.7
1435680276,50,3.6,89,8,16.7
1435680336,50,3.8,95,14,16.6
1435680396,50,3.8,97,3,16.7
1435680456,50,3.9,97,19,16.7
1435680516,50,4.1,102,4,16.7
1435680576,50,3.8,94,4,16.7
1435680636,49,3.7,93,9,16.7
1435680696,49,4.3,107,24,16.7
1435680756,49,4.2,106,4,16.7
1435680816,50,3.8,97,5,16.7
1435680876,49,3.9,98,10,16.7
1435680936,49,4,99,8,16.7
1435680996,49,3.9,98,15,16.7
1435681056,49,4,101,7,16.7
1435681116,49,4.1,102,12,16.7
1435681176,49,3.9,99,7,16.7
1435681236,49,4.2,106,22,16.7
1435681296,49,4.2,105,9,16.7
1435681356,49,4,99,6,16.7
1435681416,49,3.9,98,14,16.7
1435681476,49,3.9,98,0,16.7
1435681536,49,3.9,97,6,16.6
1435681596,49,4,99,10,16.6
1435681656,49,3.7,92,1,16.6
1435681716,49,3.3,83,1,16.7
1435681776,49,3.3,83,14,16.7
1435681836,49,3.6,89,4,16.6
1435681896,49,3.3,82,1,16.6
1435681956,49,3.6,90,22,16.6
1435682016,50,4.2,105,19,16.6
1435682076,50,4.8,120,21,16.7
1435682136,50,5.3,132,15,16.8
1435682196,50,5.2,129,16,16.9
1435682256,50,5.8,144,32,17
1435682316,50,6,148,8,17.1
1435682376,50,5.9,147,26,17.3
1435682436,50,6.4,159,33,17.3
1435682496,51,6.6,165,15,17.5
1435682556,50,6.2,153,17,17.6
1435682616,50,6.3,157,31,17.7
1435682676,50,6.9,172,31,17.8
1435682736,50,6.6,164,12,17.9
1435682796,51,6.4,158,14,18.1
1435682856,51,5.9,147,8,18.2
1435682916,51,5.9,147,27,18.2
1435682976,51,5.9,146,9,18.3
1435683036,51,5.7,141,19,18.4
1435683096,51,5.9,147,12,18.4
1435683156,51,5.9,148,33,18.5
1435683216,51,7.3,182,30,18.5
1435683276,51,7.6,187,43,18.5
1435683336,52,8.5,211,54,18.4
1435683396,52,9.4,233,44,18.3
1435683456,52,10.1,250,85,18.3
1435683516,53,12.9,319,144,18.2
1435683576,53,17.6,434,207,18.2
